person_id,full_name,date_of_birth,email,phone,person_age,person_income,person_home_ownership,person_emp_length,source_system,created_at
P-100119,Tyrone Matthews,1996-03-04,thickman@example.org,+17392685621,29,49453.32,OWN,9.4,PARTNER_PORTAL,2024-08-27 11:01:00.644388
P-100120,Billy Jacobs,1983-08-03,unovak@example.org,+16475735866,42,29050.75,RENT,10.4,WEBSITE,2025-11-01 13:12:31.093456
P-100121,Christian Dawson,1993-12-26,jodistewart@example.org,+14048754121,32,27985.2,OTHER,2.6,WEBSITE,2025-04-30 10:30:53.031231
P-100122,Jennifer Johnson,2005-12-18,angela99@example.com,,20,36427.92,MORTGAGE,8.2,BRANCH,2025-01-16 23:14:40.445722
P-100123,Arthur Hamilton MD,1980-11-03,xpatton@example.com,+12798937124,45,20739.6,OWN,6.6,WEBSITE,2025-02-07 17:50:47.894401
P-100124,Regina Rivera,2003-01-06,ryan92@example.com,+16938752654,23,41270.46,MORTGAGE,0.0,CRM,2025-03-02 17:14:10.626031
P-100125,Christina Osborn,1986-12-27,erinpierce@example.net,+18378416724,39,31800.89,OTHER,2.9,CRM,2024-08-10 20:14:11.882120
P-100126,Karen Morales DDS,2002-06-05,ystephens@example.com,+17898113529,23,56125.17,MORTGAGE,4.2,PARTNER_PORTAL,2024-09-02 05:51:33.213580
P-100127,Daniel Burgess,1991-07-27,seanmyers@example.net,+13823507146,34,54125.3,RENT,10.3,CRM,2026-01-23 08:29:06.609396
P-100128,Hannah Cooper,1996-08-09,adrianabailey@example.org,+14754140105,29,79775.55,RENT,3.7,CRM,2025-02-06 21:12:34.170851
P-100129,Joel Salinas,1985-06-15,jacobsandoval@example.com,+15936796603,40,54767.78,OWN,4.5,PARTNER_PORTAL,2025-11-29 00:30:19.402346
P-100130,Amy Garcia,1991-02-11,michaelgonzalez@example.org,+19784596969,34,139015.3,OWN,5.3,BRANCH,2026-01-11 00:56:49.970582
P-100131,Elizabeth Mendez,1992-07-20,powerslawrence@example.org,+14129528669,33,80172.2,RENT,1.6,WEBSITE,2025-09-08 04:31:07.835806
P-100132,Maria Cooke,1991-08-17,tracytaylor@example.com,+18909507236,34,52714.69,MORTGAGE,1.7,CRM,2025-04-07 04:08:58.750790
P-100133,Katherine Miller,2005-05-20,flynnjeffrey@example.org,+13386427978,20,14183.85,OTHER,0.5,WEBSITE,2025-12-14 23:35:54.412706
P-100134,Holly Carson,1997-09-21,wolfscott@example.org,+17138407451,28,128730.6,MORTGAGE,9.4,WEBSITE,2024-10-14 07:10:24.827556
P-100135,Daniel Clark,2001-08-08,hudsonamanda@example.net,,24,53703.83,RENT,3.4,WEBSITE,2026-03-25 14:40:07.867485
P-100136,Sharon Martinez DVM,1996-06-08,dustinmorris@example.org,+17679294667,29,62351.57,MORTGAGE,3.6,BRANCH,2026-04-16 15:59:08.626937
P-100137,Aaron Schroeder,1985-05-18,simonstephen@example.net,+17514863637,40,23669.3,RENT,5.0,BRANCH,2025-07-21 14:28:46.913893
P-100138,Mr. Michael Williams,1973-01-28,simsmary@example.org,+14276706324,52,97564.4,OWN,5.4,CRM,2024-08-24 09:57:26.259950
P-100139,Bradley Beck,1989-07-07,brettgarrett@example.net,+19362110371,36,42992.0,RENT,4.3,WEBSITE,2024-06-25 16:18:51.545142
P-100140,Bryan Dalton,2000-10-10,timperez@example.org,+12114554262,25,27768.42,OWN,7.7,CRM,2025-04-24 07:30:37.771944
P-100141,Lori Hernandez,1985-09-19,cjensen@example.org,+14125196565,40,54262.7,OWN,3.9,WEBSITE,2024-12-31 01:01:03.294693
P-100142,Juan Greene,1990-07-17,kimberly04@example.org,+13982364037,35,74202.34,OWN,0.0,WEBSITE,2026-05-12 07:45:56.578758
P-100143,Bonnie Valencia,1996-11-06,rdiaz@example.org,+18718091043,29,14839.58,MORTGAGE,0.0,PARTNER_PORTAL,2025-10-24 15:16:25.914755
P-100144,Joshua Jensen,1983-04-29,christopher18@example.org,+12855691463,42,29860.32,MORTGAGE,0.0,BRANCH,2024-08-19 10:08:18.463892
P-100145,Jesse Lynch,2005-11-11,elizabeth21@example.org,+16203275884,20,32895.05,RENT,14.7,CRM,2025-12-12 09:41:09.725820
P-100146,Robert Nelson,1990-08-09,bakertheresa@example.net,+17774850792,35,57285.0,OTHER,0.0,WEBSITE,2024-12-15 17:39:33.755356
P-100147,Kenneth Sharp,1996-09-17,joycesmith@example.org,+18075562208,29,46850.3,RENT,4.7,CRM,2025-01-31 10:45:04.608414
P-100148,Nathan Nelson,1987-04-10,duncandavid@example.net,+16237806174,38,64060.25,OWN,2.2,WEBSITE,2024-08-19 13:02:31.977153
P-100149,Jacob Carter,1986-07-04,jodi37@example.com,+15737832060,39,108653.08,MORTGAGE,1.1,CRM,2025-09-08 11:55:09.233714
P-100150,Alexandra Rogers,2001-03-21,usweeney@example.com,+13382367024,24,39925.11,OTHER,10.6,PARTNER_PORTAL,2026-03-27 08:47:35.983793
P-100151,Kelly Haynes,1997-01-12,stephen19@example.org,+17267199062,28,98742.93, OTHER ,5.5,PARTNER_PORTAL,2025-05-03 04:19:04.681697
P-100152,Tony Taylor,1991-07-19,moorefrank@example.com,+12615853747,34,36352.79,RENT,1.2,CRM,2026-01-26 13:56:09.411026
P-100153,Brandon Wright,1997-07-21,randy04@example.com,+13064788317,28,56884.81,OWN,0.0,PARTNER_PORTAL,2024-09-13 02:35:02.802297
P-100154,Richard Walker,1988-11-01,madisonwatson@example.net,+13192941013,37,83391.11,MORTGAGE,0.0,PARTNER_PORTAL,2026-04-11 01:56:25.642313
P-100155,Thomas Hamilton,2000-07-13,ycrawford@example.net,+16259324472,25,17543.57,OWN,1.7,PARTNER_PORTAL,2025-04-04 14:59:07.777572
P-100156,Amy Ramirez,1992-06-20,robertday@example.net,+17808657875,33,38585.91,RENT,4.4,CRM,2024-12-26 11:12:18.723546
P-100157,Kyle Johnson,1992-05-18,brian78@example.com,+14934213348,33,25471.24,RENT,7.8,WEBSITE,2024-12-02 17:33:15.756841
P-100158,Oscar Howard,1988-02-06,warnermichael@example.net,+12293378427,37,60240.09,OWN,6.2,WEBSITE,2024-07-29 09:02:21.635275
P-100159,Alicia Woods,1977-03-11,samantha32@example.com,+17258002921,48,42281.22, RENT ,3.8,CRM,2025-08-04 12:36:04.071673
P-100160,Frank Daugherty,2000-11-25,fconner@example.net,+18282953926,25,22371.44,OTHER,1.4,BRANCH,2024-10-25 13:50:28.898285
P-100161,Robert Carr,1994-03-05,zunigadonald@example.net,+16355521570,31,53309.1,OWN,5.2,BRANCH,2024-12-11 19:55:53.361098
P-100162,David Rodriguez,2001-01-04,williamssamuel@example.com,+15674658617,25,66614.46,OWN,4.4,WEBSITE,2025-05-02 03:35:51.902225
P-100163,Amanda Smith,1999-09-07,stephanie15@example.org,+18214815997,26,59972.14,OWN,5.8,WEBSITE,2024-07-27 13:07:25.379872
P-100164,William Ortiz,2005-06-14,donna43@example.org,+18693872050,20,51232.0, RENT ,1.4,CRM,2025-01-12 08:35:39.228224
P-100165,Lindsay Gonzalez,1993-01-07,clarkdanielle@example.org,+17144677418,33,19927.33,MORTGAGE,10.3,WEBSITE,2025-04-28 06:55:48.569679
P-100166,John Perez,1984-01-18,anne21@example.org,,41,54170.94,OTHER,0.0,WEBSITE,2025-01-15 08:55:42.547420
P-100167,Scott Johnson,2003-04-05,davidtodd@example.org,+14336206163,22,37737.95,OWN,0.7,CRM,2025-01-30 00:14:42.731127
P-100168,Renee Miller,1988-07-09,rarnold@example.net,+13093986162,37,23222.15,RENT,1.7,CRM,2025-07-19 04:20:22.394062
P-100169,Dustin Nichols,1992-04-17,natalie46@example.net,+18997702462,33,107593.32,RENT,0.1,WEBSITE,2025-10-16 17:21:21.838674
P-100170,John Adams,1992-03-16,andrew44@example.com,+15138247546,33,17881.69, OWN ,0.0,CRM,2025-11-21 01:10:42.901383
P-100171,Sharon Nicholson,1997-04-16,cameronmckinney@example.com,+12899023303,28,33312.11,OTHER,8.3,CRM,2024-07-25 10:44:55.151271
P-100172,Curtis Richardson,1992-09-13,owagner@example.org,+16033579727,33,58892.89,OWN,2.7,CRM,2025-01-05 17:13:11.283954
P-100173,Christopher Armstrong,1983-01-21,mercedesholland@example.net,+12465800722,42,31408.28,OWN,2.5,CRM,2024-12-13 19:50:14.029876
P-100174,Elizabeth Rasmussen,1989-08-01,rodney65@example.com,+16376489691,36,56752.48,MORTGAGE,0.0,WEBSITE,2025-10-12 10:47:43.438212
P-100175,Mr. Donald Nguyen,1989-03-16,jose43@example.org,+12305965207,36,25112.74,MORTGAGE,5.9,CRM,2025-02-15 09:55:47.985842
P-100176,Melissa Little,2005-05-12,qknox@example.com,+15427824172,20,28463.29,OTHER,0.0,WEBSITE,2024-11-23 11:15:07.783043
P-100177,Jennifer Eaton,1988-04-03,jorge47@example.org,+18092991738,37,50660.64,MORTGAGE,2.5,BRANCH,2026-02-20 01:04:05.227227
P-100178,Willie Cooper,1982-10-19,tthomas@example.org,+19173525007,43,45146.1,RENT,6.1,WEBSITE,2024-09-18 16:16:52.037602
P-100179,Jeffrey Patterson,1998-03-01,creyes@example.net,+15507583003,27,57476.13,MORTGAGE,2.9,CRM,2025-01-24 15:30:56.004472
P-100180,Jonathan Torres,1997-05-31,colonkenneth@example.com,+18892856257,28,25026.18, MORTGAGE ,0.0,CRM,2024-11-27 00:49:43.829979
P-100181,Bonnie Gross,1981-05-12,daviddawson@example.org,+18483909010,44,180255.47,OTHER,3.4,CRM,2025-07-08 09:25:08.523465
P-100182,Christian Neal,2005-07-27,turnerdorothy@example.net,+15495926189,20,37895.11,MORTGAGE,4.2,PARTNER_PORTAL,2025-12-16 23:26:31.787977
P-100183,Valerie Howard,2002-08-16,cphillips@example.net,+13373530011,23,61007.9,RENT,7.1,CRM,2026-03-15 19:29:13.152306
P-100184,Joyce Madden,2005-08-04,steven12@example.org,+16553611002,20,137170.06,OWN,5.7,CRM,2025-03-08 01:06:54.215979
