person_id,full_name,date_of_birth,email,phone,person_age,person_income,person_home_ownership,person_emp_length,source_system,created_at
P-100015,Michele Carr,1996-03-27,contrerasangela@example.net,524-711-8244,29,34244.97,MORTGAGE,2.4,WEBSITE,2024-11-09 15:33:02.037301
P-100016,Deborah Freeman,1996-10-11,davisrodney@example.com,2053242786,29,27550.97,rent,8.9,WEBSITE,2024-08-11 17:44:02.170626
P-100017,Stephanie Gardner,2005-11-26,brandi26@example.org,8454053315,20,36894.33,RENT,5.7,BRANCH,2026-03-30 12:16:02.266256
P-100018,Christopher Marsh,1989-12-08,nicolejohnson@example.net,563-542-1607x33754,36,68620.11,OTHER,3.6,CRM,2024-07-06 14:36:19.422180
P-100019,Garrett Lin,1997-06-18,michael86@example.net,+1-350-814-2940,28,71103.14,MORTGAGE,4.2,WEBSITE,2025-02-17 04:17:45.850290
P-100020,Jessica Joyce,2004-12-25,cruzbarbara@example.com,7607883561,21,26750.31,MORTGAGE,7.0,PARTNER_PORTAL,2025-09-27 17:19:19.569956
P-100021,Steven Hunter,1992-10-16,snguyen@example.com,+1-823-266-2994,33,64845.77,RENT,3.3,CRM,2025-01-18 21:22:12.233646
P-100022,Richard Lawson,1992-01-12,steven73@example.net,221.248.9513x4332,33,37416.21,OWN,6.8,WEBSITE,2024-12-08 12:56:44.175847
P-100023,Samuel Jones,1999-05-11,kmercado@example.org,001-967-263-2016x328,26,36327.14,RENT,3.5,WEBSITE,2025-07-15 11:36:32.156230
P-100024,Barbara Anderson,2003-04-28,jcontreras@example.net,979-586-8727x74348,22,34263.25,RENT,5.0,CRM,2024-12-29 09:10:14.694891
P-100025,Dustin Nelson,1990-07-26,patricia12@example.org,962.831.6658,35,56703.55,OTHER,7.7,WEBSITE,2024-08-02 15:33:05.459645
P-100026,Jean Carrillo,1994-10-14,gateskathy@example.com,805.946.6889x3734,31,42453.09,mortgage,0.0,CRM,2024-07-10 08:43:17.827710
P-100027,Michael Powell,2005-09-18,marycalhoun@example.net,+1-906-499-0162,20,21429.32,MORTGAGE,1.0,CRM,2024-07-25 06:07:53.037712
P-100028,Daniel Murphy,1990-07-14,aramirez@example.com,270-580-5310,35,36026.52,mortgage,10.2,WEBSITE,2024-11-06 16:19:34.955505
P-100029,Christian Martinez,1996-04-28,elliottjeffery@example.net,852-899-1241x904,29,66544.99,RENT,1.3,WEBSITE,2026-04-10 12:19:19.468441
P-100030,Kevin Rivas,1995-12-12,curtisbarton@example.net,+1-819-905-8651x850,30,36810.26,OWN,8.4,PARTNER_PORTAL,2024-09-01 23:02:20.804592
P-100031,Madison Poole,2005-12-02,ryangross@example.net,998-577-6945x314,20,56327.21,OWN,6.0,CRM,2025-11-27 17:25:02.277257
P-100032,Mary Rogers,1998-07-23,lrosales@example.com,554.354.9480,27,46150.88,OTHER,2.9,CRM,2024-12-06 02:19:56.444661
P-100033,Justin Allen,1992-03-03,fbrewer@example.com,9147363495,33,44892.17,OWN,11.4,WEBSITE,2025-04-14 02:08:10.086532
P-100034,Erin Warner,1995-05-25,kristopher31@example.net,651.382.3374,30,48952.3,RENT,5.9,CRM,2026-01-24 06:31:07.177505
P-100035,Isaac Turner,1983-12-13,joshuamccann@example.net,627-910-9477x7520,42,70214.57,RENT,6.4,WEBSITE,2024-09-07 22:44:54.692944
P-100036,John Ray,1982-11-10,hernandezlisa@example.com,831-986-9993,43,31198.85,OTHER,1.3,CRM,2026-03-18 10:06:35.252236
P-100037,Kevin Patterson,1997-06-08,lynchjody@example.org,+1-934-612-3281x2067,28,20802.38,Own,7.5,BRANCH,2024-07-12 21:29:45.093521
P-100038,Douglas Heath,1995-11-15,mcdanielsandra@example.net,001-336-218-3242,30,25372.76,MORTGAGE,6.3,CRM,2024-10-14 06:11:04.441984
P-100039,Paul Carroll,1987-01-27,scott74@example.net,(248)387-7190x6594,38,133012.98,OTHER,16.7,CRM,2024-11-27 09:20:15.616225
P-100040,Shannon Matthews,1990-11-13,keyemily@example.com,001-802-978-7429,35,13730.49,OTHER,6.1,CRM,2026-04-29 20:03:42.336004
P-100041,Jason Morris,2000-06-13,hodgemark@example.net,246.980.7154x5168,25,35297.01,Own,2.6,CRM,2025-04-05 12:05:24.285199
P-100042,Isaiah Avila,1995-08-30,nwolf@example.com,+1-424-677-1093,30,48357.51, MORTGAGE ,4.4,WEBSITE,2025-07-10 21:12:40.538820
P-100043,Anna Gay,2002-03-12,murraydavid@example.org,448.346.7737x8263,23,17657.65,OTHER,3.1,WEBSITE,2024-12-30 12:54:32.454967
P-100044,Jennifer Villa,1994-04-18,lori44@example.net,001-872-978-7558,31,47650.62,OTHER,8.9,CRM,2026-04-04 11:26:04.674408
P-100045,Veronica Allen,1997-04-18,xhall@example.com,7573662702,28,23116.01,OWN,1.1,PARTNER_PORTAL,2026-02-22 09:14:21.245997
P-100046,Joseph Bryant,1999-06-23,robertpena@example.org,874-759-6158,26,28232.73,RENT,8.4,WEBSITE,2025-09-02 02:13:01.961955
P-100047,Katherine Weaver,2001-08-25,younggabrielle@example.com,216.711.7240,24,74040.33,RENT,6.5,CRM,2025-12-29 17:09:07.434798
P-100048,James Thomas,1995-02-13,yknight@example.org,(421)596-9379,30,30941.91,own,6.8,WEBSITE,2025-05-09 01:24:04.568917
P-100049,David Smith,1997-10-07,rsantana@example.net,(617)559-4647,28,22604.78,OTHER,0.0,PARTNER_PORTAL,2026-05-21 01:45:32.261959
P-100050,Ashley James,1992-12-07,bailey40@example.net,(640)490-9743x9533,33,48435.84,OTHER,4.5,CRM,2025-09-03 02:34:33.016340
P-100051,Maria Parker,1991-04-12,xjohnson@example.net,(714)656-2328,34,90971.45,OTHER,5.9,PARTNER_PORTAL,2026-01-22 18:16:38.391915
P-100052,Roger Olson,1997-08-12,julie51@example.com,623-368-5160,28,56151.91,RENT,11.1,WEBSITE,2025-05-04 14:24:52.843487
P-100053,Megan Richards,1992-08-26,daniel37@example.org,+1-285-693-1746x120,33,22618.92,RENT,0.0,WEBSITE,2026-05-18 15:49:23.725270
P-100054,David Medina,1980-12-19,qchavez@example.net,001-786-592-6179x640,45,40185.62,MORTGAGE,3.5,WEBSITE,2025-04-26 14:42:50.028296
P-100055,Savannah Garcia,1982-03-15,amy50@example.com,531-371-3900x532,43,24127.92,mortgage,1.4,CRM,2026-01-22 07:16:10.000237
P-100056,Laurie Li,1988-09-16,markhernandez@example.net,4422284210,37,44231.08,OTHER,4.3,CRM,2025-02-25 23:22:03.070820
P-100057,Leah Smith,1991-01-21,brian68@example.org,001-617-975-8917x8390,34,96193.3,RENT,5.4,BRANCH,2025-09-13 16:18:18.205603
P-100058,Zachary Boone,1988-01-23,fparks@example.net,711.859.2124x998,37,43183.12, MORTGAGE ,1.6,BRANCH,2026-05-17 17:58:28.876760
P-100059,Jody Jacobs,2003-11-24,mcguiredanny@example.net,+1-883-767-3657x6615,22,27364.89,OWN,3.7,PARTNER_PORTAL,2025-09-28 22:14:39.911184
P-100060,Christian Leblanc,1986-12-12,davischristopher@example.com,352-880-9885,39,45109.46,RENT,3.1,WEBSITE,2025-02-22 17:17:29.275809
P-100061,Nicole Parrish,1996-04-14,schmittcaroline@example.com,798-332-7315,29,76996.62,MORTGAGE,7.2,WEBSITE,2025-12-06 05:19:48.400308
P-100062,Renee Bruce,1983-07-06,lynchdiane@example.net,302-444-5502x296,42,30249.4,OWN,4.1,CRM,2025-11-21 01:35:11.164302
P-100063,Anna Moreno,1992-09-27,vbarnes@example.org,(645)999-1022x901,33,48879.6,OWN,0.7,PARTNER_PORTAL,2025-09-26 16:57:57.062512
P-100064,Mr. Donald Fischer,1993-04-11,reeddaniel@example.net,+1-497-684-0369x00343,32,177124.95,Rent,12.5,PARTNER_PORTAL,2025-01-08 18:48:59.447456
P-100065,Jonathan Jordan,2000-08-08,omarpadilla@example.net,+1-751-860-6071,25,37870.93,OTHER,0.0,CRM,2025-07-26 16:29:25.731541
P-100066,Jennifer Wilson,1998-03-05,burchgeorge@example.net,651.761.3696x816,27,86096.11,Mortgage,2.1,WEBSITE,2024-11-22 05:44:00.158351
P-100067,Angela Schultz,2000-01-02,rebeccabailey@example.net,+1-923-912-4329x2127,26,13615.87,MORTGAGE,4.3,CRM,2025-10-10 03:39:33.736094
P-100068,Maria Downs,2002-02-01,michelle52@example.com,377-644-9058,23,149652.78,OWN,2.9,WEBSITE,2025-05-09 11:21:47.964679
P-100069,Jacob Mitchell,2001-02-25,gilbertwilliam@example.com,001-480-279-3597,24,42114.85,rent,0.0,CRM,2025-05-01 14:44:54.727610
P-100070,Sara Haas,2005-06-27,wagnergerald@example.org,001-777-288-9255x466,20,21849.16,OTHER,0.6,WEBSITE,2025-12-24 20:52:28.640276
P-100071,Andrea Davis,1979-10-15,umitchell@example.net,+1-625-819-2546x291,46,219210.33,OWN,0.3,CRM,2025-09-13 18:52:12.520711
P-100072,Carl Warner,1996-08-31,lucasrodney@example.com,4544235733,29,114781.28,OTHER,1.1,BRANCH,2024-08-13 02:01:57.488893
P-100073,Ashley Wise,1995-11-17,stanleynancy@example.net,(296)822-2927,30,68018.54,OWN,6.7,CRM,2025-03-02 05:11:49.791932
P-100074,Tracy Bishop,1997-06-12,pyoung@example.com,435.697.7468x8623,28,20822.87,OTHER,4.0,BRANCH,2024-07-26 13:59:31.502026
P-100075,Mr. Timothy Dawson,1996-11-13,mitchellkathryn@example.com,782.561.3750x606,29,50397.33,OWN,2.8,WEBSITE,2025-03-17 12:48:34.900585
P-100076,Danny Flores,1990-07-06,combsdebra@example.org,(304)272-7790,35,48314.46,OTHER,6.4,BRANCH,2024-12-16 07:14:25.869033
P-100077,Kimberly Acosta,1993-05-06,srodriguez@example.org,,32,44357.91,MORTGAGE,2.1,PARTNER_PORTAL,2025-01-10 01:29:42.452525
P-100078,Harry Duncan,1991-07-15,elizabethmiller@example.com,288-888-8067,34,208510.8,Other,13.4,CRM,2026-05-08 05:32:02.942850
P-100079,Alan Kramer,1981-11-07,john19@example.net,001-252-605-8527x72217,44,54842.22,OWN,1.9,CRM,2024-11-08 05:49:16.628419
P-100080,Stacey Stewart,2002-12-04,zachary87@example.com,8348505415,23,51252.11,RENT,6.9,PARTNER_PORTAL,2025-11-22 16:54:09.486990
P-100081,Jasmine Beltran,2005-03-08,xholt@example.net,,20,73872.15,OWN,6.8,PARTNER_PORTAL,2025-01-20 17:25:53.372513
P-100082,Jessica Norris,2002-09-12,sergio59@example.com,401-365-8202x970,23,51279.4,RENT,5.2,CRM,2024-12-02 08:12:40.808240
P-100083,Heidi Herring,1996-03-22,jacobserika@example.com,(271)492-8565x431,29,41901.69,RENT,4.0,CRM,2025-06-04 14:27:28.067431
P-100084,Justin Green,1992-01-23,jane39@example.com,001-373-612-1727x155,33,10811.2,RENT,4.1,WEBSITE,2026-03-06 09:24:38.456294
P-100085,Michelle Ho,1992-03-02,laurahicks@example.org,923.470.5895,33,52197.86,RENT,3.5,PARTNER_PORTAL,2025-08-22 16:33:08.693784
P-100086,Eric Key,2005-11-07,xfox@example.com,001-412-451-7785,20,114696.25,MORTGAGE,0.0,WEBSITE,2025-12-09 20:20:47.867455
P-100087,Jonathan Oneill,1987-08-12,holmeskevin@example.org,335-484-1438x42498,38,37023.61,OWN,4.8,PARTNER_PORTAL,2025-08-08 13:58:11.252593
P-100088,Carolyn Weber,2002-10-14,megan90@example.org,909-643-9690,23,90673.87,OTHER,7.3,CRM,2025-09-12 16:12:27.036041
P-100089,David Aguirre,1980-09-26,eevans@example.net,4277677359,45,84759.79,OTHER,6.8,WEBSITE,2026-02-13 11:38:37.955936
P-100090,William Reed,1980-07-18,xanderson@example.net,+1-415-337-1473,45,69940.03,OWN,3.8,CRM,2024-07-25 11:31:19.750743
P-100091,Sharon Barnes,1993-05-16,lisapeck@example.net,532-578-7747x01687,32,30224.76,OTHER,9.0,CRM,2025-08-02 15:40:17.339906
P-100092,Douglas Harper,2003-06-03,amitchell@example.org,(624)356-5060x98358,22,39940.33,OTHER,9.7,PARTNER_PORTAL,2025-03-17 15:52:52.593246
P-100093,Joshua Bryan,1987-05-03,andersoncolin@example.com,985-923-9868x00025,38,120735.25,RENT,7.9,WEBSITE,2024-10-02 08:41:21.260825
P-100094,Brenda Velazquez,2005-04-17,francisco94@example.net,688-287-9470x55169,20,23281.07,RENT,2.9,CRM,2025-08-12 03:43:41.608442
P-100095,Matthew Stanton,1981-11-23,jennifersilva@example.org,896.523.0913x07562,44,62984.48,MORTGAGE,2.2,WEBSITE,2025-04-03 11:50:17.887757
P-100096,Tami Salas,2002-12-06,thorntonapril@example.net,578-565-2785x85497,23,22717.52,RENT,2.3,CRM,2025-01-01 11:17:30.778600
P-100097,Todd Hendrix,1991-10-10,janet75@example.com,(284)641-9866x524,34,83735.78,OWN,7.4,PARTNER_PORTAL,2026-04-20 05:02:45.415740
P-100098,Thomas Douglas,2005-05-04,ilewis@example.com,+1-542-519-9330,20,46148.44,OWN,6.7,PARTNER_PORTAL,2024-07-26 19:13:32.052834
P-100099,Mitchell Garcia,1981-07-06,adampierce@example.org,(877)434-5401x93802,44,14260.07,MORTGAGE,2.6,PARTNER_PORTAL,2026-04-05 05:25:44.126276
P-100100,Russell French,1989-03-30,sharonhayden@example.com,9044991547,36,99884.72,rent,6.5,PARTNER_PORTAL,2026-02-06 04:22:41.138675
P-100101,Corey Rodriguez,1987-11-30,jessicawong@example.net,(805)749-3296,38,32402.18,RENT,8.3,CRM,2024-08-19 18:57:50.509220
P-100102,Cathy Taylor,1985-04-17,shari04@example.com,774.554.9904,40,50459.21,RENT,6.1,BRANCH,2024-08-02 13:10:29.007585
P-100103,Eric Sullivan,2000-02-15,hannah45@example.net,932.572.7956,25,40898.93,OWN,4.4,CRM,2025-12-05 16:47:18.658012
P-100104,Linda Cobb,1990-12-10,xrice@example.org,001-410-788-3982,35,24780.32,OTHER,4.5,PARTNER_PORTAL,2026-02-08 13:58:43.970945
P-100105,Michael Love,1982-02-05,gdavis@example.com,9726867908,43,29467.01,other,1.7,BRANCH,2025-11-08 16:12:28.099287
P-100106,Robert Reese,1992-05-31,williamsmelvin@example.org,+1-801-770-4622,33,44635.48,own,10.3,CRM,2026-05-16 12:11:55.831028
P-100107,Sergio Knox,1987-07-21,qmiller@example.net,(251)228-6823,38,70474.13,OTHER,7.2,CRM,2026-05-06 10:41:09.454026
P-100108,Nathan Coleman,1975-02-28,pmorrow@example.com,(324)231-0690x331,50,14736.21,OTHER,11.4,CRM,2025-04-28 18:07:23.490615
P-100109,Shelby Sanchez,1997-05-21,moralesjimmy@example.org,001-502-884-3959x95342,28,47067.32,Other,10.2,CRM,2025-01-16 12:38:53.058803
P-100110,Travis Hobbs,2005-08-02,conniesimmons@example.com,8564856624,20,18385.12,MORTGAGE,1.8,CRM,2025-11-30 11:39:05.705347
P-100111,Samuel Turner,1990-09-25,lindamelendez@example.net,(568)282-6343x51751,35,59177.89,RENT,6.1,PARTNER_PORTAL,2024-12-25 02:01:03.472441
P-100112,Lindsey Russo,2005-08-17,lindamatthews@example.net,+1-337-935-4033,20,45701.87,RENT,3.1,WEBSITE,2026-03-22 13:55:06.338448
P-100113,Michele Sanders,1990-01-12,andrearowe@example.com,585.744.5877x175,35,65256.08,RENT,5.6,CRM,2025-01-25 05:27:54.203236
P-100114,Sean Figueroa,1987-05-08,greensarah@example.net,001-664-923-5369x3785,38,59369.48,OTHER,2.2,PARTNER_PORTAL,2026-04-28 01:14:36.034160
P-100115,Katherine Jackson,1995-02-16,gary87@example.org,+1-508-301-0062,30,49425.75,OWN,8.3,CRM,2025-10-28 09:21:55.948931
P-100116,Jonathan Brooks,1997-09-25,bhopkins@example.org,+1-286-800-8484,28,38322.35,RENT,4.5,WEBSITE,2026-01-05 17:40:28.819151
P-100117,Ashley Davis,1987-05-17,johnharvey@example.com,(246)315-6793x341,38,14821.24,RENT,0.0,PARTNER_PORTAL,2025-03-30 22:06:52.170926
P-100118,John Walsh,2005-09-23,christopherbruce@example.net,291-480-3397x40148,20,30544.95,Own,8.0,PARTNER_PORTAL,2026-04-01 14:44:40.327216
P-100119,Tyrone Matthews,1996-03-04,thickman@example.org,001-739-268-5621,29,49453.32,OWN,9.4,PARTNER_PORTAL,2024-08-27 11:01:00.644388
P-100120,Billy Jacobs,1983-08-03,unovak@example.org,+1-647-573-5866x2961,42,29050.75,RENT,10.4,WEBSITE,2025-11-01 13:12:31.093456
P-100121,Christian Dawson,1993-12-26,jodistewart@example.org,404-875-4121,32,27985.2,OTHER,2.6,WEBSITE,2025-04-30 10:30:53.031231
P-100122,Jennifer Johnson,2005-12-18,angela99@example.com,,20,36427.92,MORTGAGE,8.2,BRANCH,2025-01-16 23:14:40.445722
P-100123,Arthur Hamilton MD,1980-11-03,xpatton@example.com,279.893.7124,45,20739.6,OWN,6.6,WEBSITE,2025-02-07 17:50:47.894401
P-100124,Regina Rivera,2003-01-06,ryan92@example.com,693-875-2654x79356,23,41270.46,mortgage,0.0,CRM,2025-03-02 17:14:10.626031
P-100125,Christina Osborn,1986-12-27,erinpierce@example.net,837.841.6724x342,39,31800.89,OTHER,2.9,CRM,2024-08-10 20:14:11.882120
P-100126,Karen Morales DDS,2002-06-05,ystephens@example.com,001-789-811-3529x096,23,56125.17,MORTGAGE,4.2,PARTNER_PORTAL,2024-09-02 05:51:33.213580
P-100127,Daniel Burgess,1991-07-27,seanmyers@example.net,001-382-350-7146,34,54125.3,RENT,10.3,CRM,2026-01-23 08:29:06.609396
P-100128,Hannah Cooper,1996-08-09,adrianabailey@example.org,475.414.0105x123,29,79775.55,RENT,3.7,CRM,2025-02-06 21:12:34.170851
P-100129,Joel Salinas,1985-06-15,jacobsandoval@example.com,5936796603,40,54767.78,OWN,4.5,PARTNER_PORTAL,2025-11-29 00:30:19.402346
P-100130,Amy Garcia,1991-02-11,michaelgonzalez@example.org,978-459-6969x155,34,139015.3,OWN,5.3,BRANCH,2026-01-11 00:56:49.970582
P-100131,Elizabeth Mendez,1992-07-20,powerslawrence@example.org,412-952-8669x2966,33,80172.2,RENT,1.6,WEBSITE,2025-09-08 04:31:07.835806
P-100132,Maria Cooke,1991-08-17,tracytaylor@example.com,890.950.7236x887,34,52714.69,mortgage,1.7,CRM,2025-04-07 04:08:58.750790
P-100133,Katherine Miller,2005-05-20,flynnjeffrey@example.org,338-642-7978x819,20,14183.85,OTHER,0.5,WEBSITE,2025-12-14 23:35:54.412706
P-100134,Holly Carson,1997-09-21,wolfscott@example.org,(713)840-7451x71339,28,128730.6,MORTGAGE,9.4,WEBSITE,2024-10-14 07:10:24.827556
P-100135,Daniel Clark,2001-08-08,hudsonamanda@example.net,,24,53703.83,RENT,3.4,WEBSITE,2026-03-25 14:40:07.867485
P-100136,Sharon Martinez DVM,1996-06-08,dustinmorris@example.org,001-767-929-4667x11684,29,62351.57,MORTGAGE,3.6,BRANCH,2026-04-16 15:59:08.626937
P-100137,Aaron Schroeder,1985-05-18,simonstephen@example.net,001-751-486-3637x454,40,23669.3,RENT,5.0,BRANCH,2025-07-21 14:28:46.913893
P-100138,Mr. Michael Williams,1973-01-28,simsmary@example.org,427-670-6324,52,97564.4,OWN,5.4,CRM,2024-08-24 09:57:26.259950
P-100139,Bradley Beck,1989-07-07,brettgarrett@example.net,001-936-211-0371x293,36,42992.0,rent,4.3,WEBSITE,2024-06-25 16:18:51.545142
P-100140,Bryan Dalton,2000-10-10,timperez@example.org,001-211-455-4262x2189,25,27768.42,OWN,7.7,CRM,2025-04-24 07:30:37.771944
P-100141,Lori Hernandez,1985-09-19,cjensen@example.org,412-519-6565,40,54262.7,OWN,3.9,WEBSITE,2024-12-31 01:01:03.294693
P-100142,Juan Greene,1990-07-17,kimberly04@example.org,398.236.4037x61379,35,74202.34,OWN,0.0,WEBSITE,2026-05-12 07:45:56.578758
P-100143,Bonnie Valencia,1996-11-06,rdiaz@example.org,001-871-809-1043x00684,29,14839.58,MORTGAGE,0.0,PARTNER_PORTAL,2025-10-24 15:16:25.914755
P-100144,Joshua Jensen,1983-04-29,christopher18@example.org,(285)569-1463,42,29860.32,MORTGAGE,0.0,BRANCH,2024-08-19 10:08:18.463892
P-100145,Jesse Lynch,2005-11-11,elizabeth21@example.org,001-620-327-5884x252,20,32895.05,RENT,14.7,CRM,2025-12-12 09:41:09.725820
P-100146,Robert Nelson,1990-08-09,bakertheresa@example.net,777-485-0792,35,57285.0,OTHER,0.0,WEBSITE,2024-12-15 17:39:33.755356
P-100147,Kenneth Sharp,1996-09-17,joycesmith@example.org,807.556.2208,29,46850.3,RENT,4.7,CRM,2025-01-31 10:45:04.608414
P-100148,Nathan Nelson,1987-04-10,duncandavid@example.net,6237806174,38,64060.25,OWN,2.2,WEBSITE,2024-08-19 13:02:31.977153
P-100149,Jacob Carter,1986-07-04,jodi37@example.com,001-573-783-2060,39,108653.08,MORTGAGE,1.1,CRM,2025-09-08 11:55:09.233714
P-100150,Alexandra Rogers,2001-03-21,usweeney@example.com,338-236-7024,24,39925.11,OTHER,10.6,PARTNER_PORTAL,2026-03-27 08:47:35.983793
P-100151,Kelly Haynes,1997-01-12,stephen19@example.org,726.719.9062x34456,28,98742.93, OTHER ,5.5,PARTNER_PORTAL,2025-05-03 04:19:04.681697
P-100152,Tony Taylor,1991-07-19,moorefrank@example.com,261-585-3747x41124,34,36352.79,RENT,1.2,CRM,2026-01-26 13:56:09.411026
P-100153,Brandon Wright,1997-07-21,randy04@example.com,(306)478-8317,28,56884.81,OWN,0.0,PARTNER_PORTAL,2024-09-13 02:35:02.802297
P-100154,Richard Walker,1988-11-01,madisonwatson@example.net,+1-319-294-1013x7215,37,83391.11,MORTGAGE,0.0,PARTNER_PORTAL,2026-04-11 01:56:25.642313
P-100155,Thomas Hamilton,2000-07-13,ycrawford@example.net,(625)932-4472x09993,25,17543.57,OWN,1.7,PARTNER_PORTAL,2025-04-04 14:59:07.777572
P-100156,Amy Ramirez,1992-06-20,robertday@example.net,780.865.7875,33,38585.91,RENT,4.4,CRM,2024-12-26 11:12:18.723546
P-100157,Kyle Johnson,1992-05-18,brian78@example.com,001-493-421-3348x03965,33,25471.24,RENT,7.8,WEBSITE,2024-12-02 17:33:15.756841
P-100158,Oscar Howard,1988-02-06,warnermichael@example.net,001-229-337-8427,37,60240.09,OWN,6.2,WEBSITE,2024-07-29 09:02:21.635275
P-100159,Alicia Woods,1977-03-11,samantha32@example.com,001-725-800-2921x851,48,42281.22, RENT ,3.8,CRM,2025-08-04 12:36:04.071673
P-100160,Frank Daugherty,2000-11-25,fconner@example.net,828-295-3926x44220,25,22371.44,OTHER,1.4,BRANCH,2024-10-25 13:50:28.898285
P-100161,Robert Carr,1994-03-05,zunigadonald@example.net,635-552-1570,31,53309.1,OWN,5.2,BRANCH,2024-12-11 19:55:53.361098
P-100162,David Rodriguez,2001-01-04,williamssamuel@example.com,(567)465-8617,25,66614.46,Own,4.4,WEBSITE,2025-05-02 03:35:51.902225
P-100163,Amanda Smith,1999-09-07,stephanie15@example.org,(821)481-5997x0629,26,59972.14,OWN,5.8,WEBSITE,2024-07-27 13:07:25.379872
P-100164,William Ortiz,2005-06-14,donna43@example.org,8693872050,20,51232.0, RENT ,1.4,CRM,2025-01-12 08:35:39.228224
P-100165,Lindsay Gonzalez,1993-01-07,clarkdanielle@example.org,714.467.7418x6256,33,19927.33,mortgage,10.3,WEBSITE,2025-04-28 06:55:48.569679
P-100166,John Perez,1984-01-18,anne21@example.org,,41,54170.94,OTHER,0.0,WEBSITE,2025-01-15 08:55:42.547420
P-100167,Scott Johnson,2003-04-05,davidtodd@example.org,(433)620-6163,22,37737.95,OWN,0.7,CRM,2025-01-30 00:14:42.731127
P-100168,Renee Miller,1988-07-09,rarnold@example.net,309.398.6162x299,37,23222.15,RENT,1.7,CRM,2025-07-19 04:20:22.394062
P-100169,Dustin Nichols,1992-04-17,natalie46@example.net,899.770.2462x9960,33,107593.32,RENT,0.1,WEBSITE,2025-10-16 17:21:21.838674
P-100170,John Adams,1992-03-16,andrew44@example.com,513.824.7546x9137,33,17881.69, OWN ,0.0,CRM,2025-11-21 01:10:42.901383
P-100171,Sharon Nicholson,1997-04-16,cameronmckinney@example.com,(289)902-3303,28,33312.11,OTHER,8.3,CRM,2024-07-25 10:44:55.151271
P-100172,Curtis Richardson,1992-09-13,owagner@example.org,+1-603-357-9727x98552,33,58892.89,OWN,2.7,CRM,2025-01-05 17:13:11.283954
P-100173,Christopher Armstrong,1983-01-21,mercedesholland@example.net,246.580.0722,42,31408.28,OWN,2.5,CRM,2024-12-13 19:50:14.029876
P-100174,Elizabeth Rasmussen,1989-08-01,rodney65@example.com,637-648-9691x085,36,56752.48,MORTGAGE,0.0,WEBSITE,2025-10-12 10:47:43.438212
P-100175,Mr. Donald Nguyen,1989-03-16,jose43@example.org,230.596.5207x44666,36,25112.74,MORTGAGE,5.9,CRM,2025-02-15 09:55:47.985842
P-100176,Melissa Little,2005-05-12,qknox@example.com,542.782.4172x48251,20,28463.29,OTHER,0.0,WEBSITE,2024-11-23 11:15:07.783043
P-100177,Jennifer Eaton,1988-04-03,jorge47@example.org,809.299.1738x1684,37,50660.64,mortgage,2.5,BRANCH,2026-02-20 01:04:05.227227
P-100178,Willie Cooper,1982-10-19,tthomas@example.org,001-917-352-5007x43292,43,45146.1,Rent,6.1,WEBSITE,2024-09-18 16:16:52.037602
